symbol_lower,symbol,chrom,start,stop
gaba-t,GABA-T,chr16,8768422,8878432
abat,ABAT,chr16,8768422,8878432
tgd,TGD,chr9,107543283,107690518
abca1,ABCA1,chr9,107543283,107690518
abca2,ABCA2,chr9,139901679,139923374
abc-c,ABC-C,chr16,2325882,2390747
est111653,EST111653,chr16,2325882,2390747
lbm180,LBM180,chr16,2325882,2390747
abca3,ABCA3,chr16,2325882,2390747
ffm,FFM,chr1,94458391,94586688
armd2,ARMD2,chr1,94458391,94586688
cord3,CORD3,chr1,94458391,94586688
abca4,ABCA4,chr1,94458391,94586688
est90625,EST90625,chr17,67240452,67323385
abca5,ABCA5,chr17,67240452,67323385
est155051,EST155051,chr17,67074843,67138029
abca6,ABCA6,chr17,67074843,67138029
abcx,ABCX,chr19,1040100,1065571
abca7,ABCA7,chr19,1040100,1065571
kiaa0822,KIAA0822,chr17,66863433,66951533
abca8,ABCA8,chr17,66863433,66951533
est640918,EST640918,chr17,66970629,67057205
abca9,ABCA9,chr17,66970629,67057205
est698739,EST698739,chr17,67143355,67240987
abca10,ABCA10,chr17,67143355,67240987
dkfzp434g232,DKFZP434G232,chr2,215796266,216003151
li2,LI2,chr2,215796266,216003151
abca12,ABCA12,chr2,215796266,216003151
flj33876,FLJ33876,chr7,48211055,48687092
flj33951,FLJ33951,chr7,48211055,48687092
abca13,ABCA13,chr7,48211055,48687092
p-gp,P-gp,chr7,87132949,87342639
cd243,CD243,chr7,87132949,87342639
gp170,GP170,chr7,87132949,87342639
abc20,ABC20,chr7,87132949,87342639
abcb1,ABCB1,chr7,87132949,87342639
mdr2,MDR2,chr7,87031013,87109751
pfic-3,PFIC-3,chr7,87031013,87109751
gbd1,GBD1,chr7,87031013,87109751
abcb4,ABCB4,chr7,87031013,87109751
est422562,EST422562,chr7,20654830,20816658
abcb5beta,ABCB5beta,chr7,20654830,20816658
abcb5alpha,ABCB5alpha,chr7,20654830,20816658
abcb5,ABCB5,chr7,20654830,20816658
est45597,EST45597,chr2,220074488,220083739
umat,umat,chr2,220074488,220083739
mtabc3,MTABC3,chr2,220074488,220083739
abcb6,ABCB6,chr2,220074488,220083739
est140535,EST140535,chrX,74271389,74376567
atm1p,Atm1p,chrX,74271389,74376567
asat,ASAT,chrX,74271389,74376567
abcb7,ABCB7,chrX,74271389,74376567
est328128,EST328128,chr7,150725509,150744869
m-abc1,M-ABC1,chr7,150725509,150744869
mabc1,MABC1,chr7,150725509,150744869
mitosur,MITOSUR,chr7,150725509,150744869
abcb8,ABCB8,chr7,150725509,150744869
est122234,EST122234,chr12,123405498,123466196
abcb9,ABCB9,chr12,123405498,123466196
est20237,EST20237,chr1,229652329,229694442
m-abc2,M-ABC2,chr1,229652329,229694442
mtabc2,MTABC2,chr1,229652329,229694442
abcb10,ABCB10,chr1,229652329,229694442
abc16,ABC16,chr2,169772008,169887834
spgp,SPGP,chr2,169772008,169887834
pfic-2,PFIC-2,chr2,169772008,169887834
pgy4,PGY4,chr2,169772008,169887834
abcb11,ABCB11,chr2,169772008,169887834
gs-x,GS-X,chr16,16043434,16236931
abcc1,ABCC1,chr16,16043434,16236931
djs,DJS,chr10,101542397,101612351
mrp2,MRP2,chr10,101542397,101612351
cmrp,cMRP,chr10,101542397,101612351
abcc2,ABCC2,chr10,101542397,101612351
mrp3,MRP3,chr17,48712138,48769613
cmoat2,cMOAT2,chr17,48712138,48769613
est90757,EST90757,chr17,48712138,48769613
mlp2,MLP2,chr17,48712138,48769613
moat-d,MOAT-D,chr17,48712138,48769613
abcc3,ABCC3,chr17,48712138,48769613
mrp4,MRP4,chr13,95672083,95953729
est170205,EST170205,chr13,95672083,95953729
moat-b,MOAT-B,chr13,95672083,95953729
moatb,MOATB,chr13,95672083,95953729
abcc4,ABCC4,chr13,95672083,95953729
mrp5,MRP5,chr3,183637722,183735803
smrp,SMRP,chr3,183637722,183735803
est277145,EST277145,chr3,183637722,183735803
moat-c,MOAT-C,chr3,183637722,183735803
abcc5,ABCC5,chr3,183637722,183735803
mrp6,MRP6,chr16,16242785,16317379
est349056,EST349056,chr16,16242785,16317379
mlp1,MLP1,chr16,16242785,16317379
urg7,URG7,chr16,16242785,16317379
abcc6,ABCC6,chr16,16242785,16317379
hi,HI,chr11,17414045,17498426
phhi,PHHI,chr11,17414045,17498426
sur1,SUR1,chr11,17414045,17498426
mrp8,MRP8,chr11,17414045,17498426
abc36,ABC36,chr11,17414045,17498426
hhf1,HHF1,chr11,17414045,17498426
tndm2,TNDM2,chr11,17414045,17498426
abcc8,ABCC8,chr11,17414045,17498426
sur2,SUR2,chr12,21950335,22095463
cmd1o,CMD1O,chr12,21950335,22095463
abcc9,ABCC9,chr12,21950335,22095463
est182763,EST182763,chr6,43395104,43418168
mrp7,MRP7,chr6,43395104,43418168
simrp7,SIMRP7,chr6,43395104,43418168
abcc10,ABCC10,chr6,43395104,43418168
mrp8,MRP8,chr16,48200821,48281479
abcc11,ABCC11,chr16,48200821,48281479
mrp9,MRP9,chr16,48114917,48189929
abcc12,ABCC12,chr16,48114917,48189929
amn,AMN,chrX,152990323,153010216
aldp,ALDP,chrX,152990323,153010216
adrenoleukodystrophy,adrenoleukodystrophy,chrX,152990323,153010216
abcd1,ABCD1,chrX,152990323,153010216
aldr,ALDR,chr12,39943835,40013553
aldrp,ALDRP,chr12,39943835,40013553
abcd2,ABCD2,chr12,39943835,40013553
pmp70,PMP70,chr1,94884011,94984222
zws2,ZWS2,chr1,94884011,94984222
abcd3,ABCD3,chr1,94884011,94984222
pmp69,PMP69,chr14,74752126,74769759
p70r,P70R,chr14,74752126,74769759
est352188,EST352188,chr14,74752126,74769759
abcd4,ABCD4,chr14,74752126,74769759
rli,RLI,chr4,146019084,146050331
oabp,OABP,chr4,146019084,146050331
rli1,RLI1,chr4,146019084,146050331
abce1,ABCE1,chr4,146019084,146050331
est123147,EST123147,chr6,30539153,30564956
abcf1,ABCF1,chr6,30539153,30564956
est133090,EST133090,chr7,150909576,150924316
abc28,ABC28,chr7,150909576,150924316
m-abc1,M-ABC1,chr7,150909576,150924316
hussy-18,HUSSY-18,chr7,150909576,150924316
abcf2,ABCF2,chr7,150909576,150924316
est201864,EST201864,chr3,183903811,183911800
abcf3,ABCF3,chr3,183903811,183911800
abc8,ABC8,chr21,43619799,43717354
abcg1,ABCG1,chr21,43619799,43717354
est157481,EST157481,chr4,89011416,89152474
mxr,MXR,chr4,89011416,89152474
bcrp,BCRP,chr4,89011416,89152474
abcp,ABCP,chr4,89011416,89152474
cd338,CD338,chr4,89011416,89152474
abcg2,ABCG2,chr4,89011416,89152474
white2,WHITE2,chr11,119019722,119033362
abcg4,ABCG4,chr11,119019722,119033362
stsl,STSL,chr2,44039611,44066004
abcg5,ABCG5,chr2,44039611,44066004
gbd4,GBD4,chr2,44059081,44110126
abcg8,ABCG8,chr2,44059081,44110126
labh1,LABH1,chr2,27346657,27353680
flj36128,FLJ36128,chr2,27346657,27353680
abhd1,ABHD1,chr2,27346657,27353680
labh2,LABH2,chr15,89630690,89745591
abhd2,ABHD2,chr15,89630690,89745591
labh3,LABH3,chr18,19230858,19284766
abhd3,ABHD3,chr18,19230858,19284766
flj12816,FLJ12816,chr14,23067146,23082121
abhd4,ABHD4,chr14,23067146,23082121
cgi-58,CGI-58,chr3,43731600,43775863
ncie2,NCIE2,chr3,43731600,43775863
abhd5,ABHD5,chr3,43731600,43775863
abhd6,ABHD6,chr3,58223233,58281420
flj11743,FLJ11743,chr19,17402940,17421045
mgc14280,MGC14280,chr19,17402940,17421045
mgc2512,MGC2512,chr19,17402940,17421045
abhd8,ABHD8,chr19,17402940,17421045
flj11342,FLJ11342,chr3,111697857,111712210
abhd10,ABHD10,chr3,111697857,111712210
pp1226,PP1226,chr7,73150424,73153197
abhd11,ABHD11,chr7,73150424,73153197
dkfzp434p106,DKFZP434P106,chr20,25275379,25371619
dj965g21.2,dJ965G21.2,chr20,25275379,25371619
bem46l2,BEM46L2,chr20,25275379,25371619
abhd12a,ABHD12A,chr20,25275379,25371619
abhd12,ABHD12,chr20,25275379,25371619
bem46l3,BEM46L3,chr14,51338878,51371688
abhd12b,ABHD12B,chr14,51338878,51371688
ba153i24.2,bA153I24.2,chr13,108870727,108886603
flj14906,FLJ14906,chr13,108870727,108886603
bem46l1,BEM46L1,chr13,108870727,108886603
abhd13,ABHD13,chr13,108870727,108886603
dkfzp564o243,DKFZP564O243,chr3,52005442,52015215
dorz1,DORZ1,chr3,52005442,52015215
abhd14a,ABHD14A,chr3,52005442,52015215
mgc15429,MGC15429,chr3,52002526,52017425
cib,CIB,chr3,52002526,52017425
abhd14b,ABHD14B,chr3,52002526,52017425
abhd15,ABHD15,chr17,27887565,27894155
ng26,NG26,chr6,31654726,31671221
d6s82e,D6S82E,chr6,31654726,31671221
abhd16a,ABHD16A,chr6,31654726,31671221
dj591c20.1,dJ591C20.1,chr20,62492851,62494341
abhd16b,ABHD16B,chr20,62492851,62494341
mgc5244,MGC5244,chr19,1876809,1885546
abhd17a,ABHD17A,chr19,1876809,1885546
cgi-67,CGI-67,chr9,74477368,74525847
abhd17b,ABHD17B,chr9,74477368,74525847
abhd17c,ABHD17C,chr15,80972025,81047962
flj21106,FLJ21106,chr4,128886461,128961082
abhd18,ABHD18,chr4,128886461,128961082
e3b1,E3B1,chr10,27035522,27150016
abi-1,ABI-1,chr10,27035522,27150016
abi1,ABI1,chr10,27035522,27150016
abi-2,ABI-2,chr2,204192942,204312446
aip-1,AIP-1,chr2,204192942,204312446
abi2b,ABI2B,chr2,204192942,204312446
ablbp3,AblBP3,chr2,204192942,204312446
argbpia,argBPIA,chr2,204192942,204312446
ssh3bp2,SSH3BP2,chr2,204192942,204312446
abi2,ABI2,chr2,204192942,204312446
nesh,NESH,chr17,47287589,47300587
ssh3bp3,SSH3BP3,chr17,47287589,47300587
abi3,ABI3,chr17,47287589,47300587
neshbp,NESHBP,chr3,100468000,100712359
dkfzp586l2024,DKFZP586L2024,chr3,100468000,100712359
tarsh,TARSH,chr3,100468000,100712359
abi3bp,ABI3BP,chr3,100468000,100712359
cg-8,CG-8,chr9,111696461,111713024
flj20457,FLJ20457,chr9,111696461,111713024
simiate,Simiate,chr9,111696461,111713024
abitram,ABITRAM,chr9,111696461,111713024
jtk7,JTK7,chr9,133589333,133763062
c-abl,c-ABL,chr9,133589333,133763062
p150,p150,chr9,133589333,133763062
abl1,ABL1,chr9,133589333,133763062
arg,ARG,chr1,179068462,179198819
abl2,ABL2,chr1,179068462,179198819
ablim,abLIM,chr10,116190872,116444762
limatin,limatin,chr10,116190872,116444762
ablim1,ABLIM1,chr10,116190872,116444762
kiaa1808,KIAA1808,chr4,7967037,8160559
ablim2,ABLIM2,chr4,7967037,8160559
kiaa0843,KIAA0843,chr5,148521046,148640105
ablim3,ABLIM3,chr5,148521046,148640105
a3galnt,A3GALNT,chr9,136125788,136150635
a3galt1,A3GALT1,chr9,136125788,136150635
abo,ABO,chr9,136125788,136150635
mdb,MDB,chr17,906758,1133032
abr,ABR,chr17,906758,1133032
stars,STARS,chr8,107771711,107782473
abra,ABRA,chr8,107771711,107782473
pro2013,PRO2013,chr6,139349819,139364439
hspc280,HSPC280,chr6,139349819,139364439
costars,Costars,chr6,139349819,139364439
abracl,ABRACL,chr6,139349819,139364439
flj13614,FLJ13614,chr4,84380670,84444501
abra1,ABRA1,chr4,84380670,84444501
abraxas,ABRAXAS,chr4,84380670,84444501
abraxas1,ABRAXAS1,chr4,84380670,84444501
em:ac068896.4,Em:AC068896.4,chr10,126490354,126525239
abro1,ABRO1,chr10,126490354,126525239
abraxas2,ABRAXAS2,chr10,126490354,126525239
esf2,Esf2,chr6,26597180,26600972
abt1,ABT1,chr6,26597180,26600972
bpoz,BPOZ,chr3,127391778,127399763
ef1abp,EF1ABP,chr3,127391778,127399763
btb3,Btb3,chr3,127391778,127399763
btbd21,BTBD21,chr3,127391778,127399763
abtb1,ABTB1,chr3,127391778,127399763
dkfzp586c1619,DKFZP586C1619,chr11,34172535,34379555
btbd22,BTBD22,chr11,34172535,34379555
abtb2a,ABTB2A,chr11,34172535,34379555
abtb2,ABTB2,chr11,34172535,34379555
acaa1,ACAA1,chr3,38144620,38178733
dsaec,DSAEC,chr18,47308537,47340330
acaa2,ACAA2,chr18,47308537,47340330
acc1,ACC1,chr17,35441923,35766909
acaca,ACACA,chr17,35441923,35766909
hacc275,HACC275,chr12,109554400,109706031
acc2,ACC2,chr12,109554400,109706031
accb,ACCB,chr12,109554400,109706031
acacb,ACACB,chr12,109554400,109706031
acad8,ACAD8,chr11,134123389,134135749
npd002,NPD002,chr3,128598439,128634910
mgc14452,MGC14452,chr3,128598439,128634910
acad9,ACAD9,chr3,128598439,128634910
mgc5601,MGC5601,chr12,112123860,112194911
acad10,ACAD10,chr12,112123860,112194911
flj12592,FLJ12592,chr3,132276982,132379567
acad11,ACAD11,chr3,132276982,132379567
lcad,LCAD,chr2,211052663,211090215
acad4,ACAD4,chr2,211052663,211090215
acadl,ACADL,chr2,211052663,211090215
mcad,MCAD,chr1,76190032,76253260
mcadh,MCADH,chr1,76190032,76253260
acad1,ACAD1,chr1,76190032,76253260
acadm,ACADM,chr1,76190032,76253260
scad,SCAD,chr12,121163538,121177811
acad3,ACAD3,chr12,121163538,121177811
acads,ACADS,chr12,121163538,121177811
sbcad,SBCAD,chr10,124768495,124817827
acad7,ACAD7,chr10,124768495,124817827
acadsb,ACADSB,chr10,124768495,124817827
vlcad,VLCAD,chr17,7120444,7128592
lcacd,LCACD,chr17,7120444,7128592
acad6,ACAD6,chr17,7120444,7128592
acadvl,ACADVL,chr17,7120444,7128592
cspgcp,CSPGCP,chr15,89346673,89418585
acan,ACAN,chr15,89346673,89418585
kiaa0050,KIAA0050,chr17,7239848,7254797
acap1,ACAP1,chr17,7239848,7254797
kiaa0041,KIAA0041,chr3,194995465,195163807
cnt-b2,CNT-B2,chr3,194995465,195163807
acap2,ACAP2,chr3,194995465,195163807
kiaa1716,KIAA1716,chr1,1227756,1244989
acap3,ACAP3,chr1,1227756,1244989
thil,THIL,chr11,107992243,108018503
acat1,ACAT1,chr11,107992243,108018503
acat2,ACAT2,chr6,160181360,160200087
gcp60,GCP60,chr1,226332380,226374431
pap7,PAP7,chr1,226332380,226374431
acbd3,ACBD3,chr1,226332380,226374431
flj13322,FLJ13322,chr17,43209967,43221548
acbd4,ACBD4,chr17,43209967,43221548
dkfzp434a2417,DKFZp434A2417,chr10,27484143,27531059
kiaa1996,KIAA1996,chr10,27484143,27531059
acbd5,ACBD5,chr10,27484143,27531059
mgc2404,MGC2404,chr1,180238788,180472089
acbd6,ACBD6,chr1,180238788,180472089
flj38219,FLJ38219,chr10,15119522,15130775
ba455b2.2,bA455B2.2,chr10,15119522,15130775
acbd7,ACBD7,chr10,15119522,15130775
phacs,PHACS,chr11,44087475,44105772
acs,ACS,chr11,44087475,44105772
accs,ACCS,chr11,44087475,44105772
accsl,ACCSL,chr11,44069531,44081527
ptop,Ptop,chr16,67691415,67694718
pip1,Pip1,chr16,67691415,67694718
tpp1,Tpp1,chr16,67691415,67694718
tint1,Tint1,chr16,67691415,67694718
acd,ACD,chr16,67691415,67694718
ace1,ACE1,chr17,61554422,61575741
cd143,CD143,chr17,61554422,61575741
ace,ACE,chr17,61554422,61575741
ace2,ACE2,chrX,15579156,15620271
acer1,ACER1,chr19,6306153,6333640
flj41587,FLJ41587,chr9,19409057,19452018
alkcdase2,ALKCDase2,chr9,19409057,19452018
acer2,ACER2,chr9,19409057,19452018
flj11238,FLJ11238,chr11,76571911,76737841
aphc,APHC,chr11,76571911,76737841
acer3,ACER3,chr11,76571911,76737841
ache,ACHE,chr7,100487615,100494594
kiaa0670,KIAA0670,chr14,23527773,23564823
fsap152,fSAP152,chr14,23527773,23564823
acin1,ACIN1,chr14,23527773,23564823
ccbp1,CCBP1,chr1,159173097,159176290
gpd,GPD,chr1,159173097,159176290
dfy,Dfy,chr1,159173097,159176290
cd234,CD234,chr1,159173097,159176290
ackr1,ACKR1,chr1,159173097,159176290
ccr10,CCR10,chr3,42846244,42929466
d6,D6,chr3,42846244,42929466
ccr9,CCR9,chr3,42846244,42929466
ackr2,ACKR2,chr3,42846244,42929466
rdc1,RDC1,chr2,237476430,237491001
gpr159,GPR159,chr2,237476430,237491001
ackr3,ACKR3,chr2,237476430,237491001
ccr11,CCR11,chr3,132316081,132337811
ccbp2,CCBP2,chr3,132316081,132337811
vshk1,VSHK1,chr3,132316081,132337811
ccx-ckr,CCX-CKR,chr3,132316081,132337811
ppr1,PPR1,chr3,132316081,132337811
ackr4,ACKR4,chr3,132316081,132337811
atpcl,ATPCL,chr17,40023161,40086795
clatp,CLATP,chr17,40023161,40086795
acl,ACL,chr17,40023161,40086795
acly,ACLY,chr17,40023161,40086795
acmsd,ACMSD,chr2,135596117,135659604
irp1,IRP1,chr9,32384601,32454767
irebp,IREBP,chr9,32384601,32454767
aco1,ACO1,chr9,32384601,32454767
aconm,ACONM,chr22,41865129,41924993
aco2,ACO2,chr22,41865129,41924993
cad,CAD,chr13,77522632,77532777
acod1,ACOD1,chr13,77522632,77532777
ach2,ACH2,chr14,74003818,74010498
cte-1,CTE-1,chr14,74003818,74010498
lach2,LACH2,chr14,74003818,74010498
acot1,ACOT1,chr14,74003818,74010498
mte1,Mte1,chr14,74034324,74042362
zap128,ZAP128,chr14,74034324,74042362
acot2,ACOT2,chr14,74034324,74042362
flj31235,FLJ31235,chr14,74058410,74063200
pte-ib,PTE-Ib,chr14,74058410,74063200
pte2b,PTE2B,chr14,74058410,74063200
acot4,ACOT4,chr14,74058410,74063200
acot6,ACOT6,chr14,74077649,74086592
bach,BACH,chr1,6324329,6454451
ach1,ACH1,chr1,6324329,6454451
act,ACT,chr1,6324329,6454451
cte-ii,CTE-II,chr1,6324329,6454451
lach1,LACH1,chr1,6324329,6454451
mgc1126,MGC1126,chr1,6324329,6454451
hbach,hBACH,chr1,6324329,6454451
acot7,ACOT7,chr1,6324329,6454451
hacte-iii,hACTE-III,chr20,44470360,44486045
hte,hTE,chr20,44470360,44486045
pte-2,PTE-2,chr20,44470360,44486045
nap1,NAP1,chr20,44470360,44486045
acot8,ACOT8,chr20,44470360,44486045
cgi-16,CGI-16,chrX,23720370,23784592
mt-act48,MT-ACT48,chrX,23720370,23784592
acate2,ACATE2,chrX,23720370,23784592
acot9,ACOT9,chrX,23720370,23784592
stard14,STARD14,chr1,55007930,55104865
bfit,BFIT,chr1,55007930,55104865
kiaa0707,KIAA0707,chr1,55007930,55104865
bfit1,BFIT1,chr1,55007930,55104865
them1,THEM1,chr1,55007930,55104865
acot11,ACOT11,chr1,55007930,55104865
cach,Cach,chr5,80625824,80689998
theal,THEAL,chr5,80625824,80689998
stard15,STARD15,chr5,80625824,80689998
acot12,ACOT12,chr5,80625824,80689998
ht012,HT012,chr6,24667263,24705293
acot13,ACOT13,chr6,24667263,24705293
palmcox,PALMCOX,chr17,73937588,73975444
acox1,ACOX1,chr17,73937588,73975444
brcacox,BRCACOX,chr3,58490863,58523046
brcox,BRCOX,chr3,58490863,58523046
thccox,THCCox,chr3,58490863,58523046
acox2,ACOX2,chr3,58490863,58523046
acox3,ACOX3,chr4,8368009,8442450
flj11042,FLJ11042,chr2,111490150,111875799
acoxl,ACOXL,chr2,111490150,111875799
haap,HAAP,chr2,264140,278283
lmw-ptp,LMW-PTP,chr2,264140,278283
lmwptp,LMWPTP,chr2,264140,278283
acp1,ACP1,chr2,264140,278283
lap,LAP,chr11,47260853,47270457
acp2,ACP2,chr11,47260853,47270457
acp-3,ACP-3,chr3,132036211,132087142
pap,PAP,chr3,132036211,132087142
tm-pap,TM-PAP,chr3,132036211,132087142
acp3,ACP3,chr3,132036211,132087142
acp4,ACP4,chr19,51293672,51298481
trap,TRAP,chr19,11685475,11689823
hpap,HPAP,chr19,11685475,11689823
acp5,ACP5,chr19,11685475,11689823
lpap,LPAP,chr1,147101453,147142618
acpl1,ACPL1,chr1,147101453,147142618
acp6,ACP6,chr1,147101453,147142618
flj16165,FLJ16165,chr19,39574553,39602133
papl1,PAPL1,chr19,39574553,39602133
papl,PAPL,chr19,39574553,39602133
acp7,ACP7,chr19,39574553,39602133
acr,ACR,chr22,51176624,51183762
sp32,SP32,chr12,6747241,6756626
oy-tes-1,OY-TES-1,chr12,6747241,6756626
ct23,CT23,chr12,6747241,6756626
acrbp,ACRBP,chr12,6747241,6756626
spaca2,SPACA2,chr11,125541417,125551018
sp-10,SP-10,chr11,125541417,125551018
d11s4365,D11S4365,chr11,125541417,125551018
acrv1,ACRV1,chr11,125541417,125551018
bgm,BGM,chr15,78459810,78538030
flj30320,FLJ30320,chr15,78459810,78538030
mgc14352,MGC14352,chr15,78459810,78538030
bg1,BG1,chr15,78459810,78538030
kiaa0631,KIAA0631,chr15,78459810,78538030
hbg1,hBG1,chr15,78459810,78538030
hsbg,hsBG,chr15,78459810,78538030
acsbg1,ACSBG1,chr15,78459810,78538030
bgr,BGR,chr19,6135258,6193105
prtd-ny3,PRTD-NY3,chr19,6135258,6193105
dkfzp434k1635,DKFZp434K1635,chr19,6135258,6193105
acsbg2,ACSBG2,chr19,6135258,6193105
flj20920,FLJ20920,chr17,48503519,48552206
acsmw,ACSMW,chr17,48503519,48552206
acsf2,ACSF2,chr17,48503519,48552206
acsf3,ACSF3,chr16,89154783,89230529
lacs2,LACS2,chr4,185676749,185747972
lacs,LACS,chr4,185676749,185747972
acs1,ACS1,chr4,185676749,185747972
lacs1,LACS1,chr4,185676749,185747972
facl1,FACL1,chr4,185676749,185747972
acsl1,ACSL1,chr4,185676749,185747972
acs3,ACS3,chr2,223725652,223809357
pro2194,PRO2194,chr2,223725652,223809357
acsl3,ACSL3,chr2,223725652,223809357
acs4,ACS4,chrX,108867473,108976632
lacs4,LACS4,chrX,108867473,108976632
acsl4,ACSL4,chrX,108867473,108976632
acs5,ACS5,chr10,114133776,114188138
acs2,ACS2,chr10,114133776,114188138
acsl5,ACSL5,chr10,114133776,114188138
kiaa0837,KIAA0837,chr5,131285666,131347936
acs2,ACS2,chr5,131285666,131347936
lacs5,LACS5,chr5,131285666,131347936
lacs2,LACS2,chr5,131285666,131347936
acsl6,ACSL6,chr5,131285666,131347936
macs1,MACS1,chr16,20634559,20710212
acsm1,ACSM1,chr16,20634559,20710212
a-923a4.1,A-923A4.1,chr16,20462783,20498989
mgc150530,MGC150530,chr16,20462783,20498989
acsm2a,ACSM2A,chr16,20462783,20498989
hxma,HXMA,chr16,20547548,20587749
hyst1046,HYST1046,chr16,20547548,20587749
acsm2b,ACSM2B,chr16,20547548,20587749
sa,SA,chr16,20621565,20808903
acsm3,ACSM3,chr16,20621565,20808903
acsm4,ACSM4,chr12,7456880,7481320
flj20581,FLJ20581,chr16,20420856,20452658
acsm5,ACSM5,chr16,20420856,20452658
ba310e22.3,bA310E22.3,chr10,96953957,96988685
acsm6,ACSM6,chr10,96953957,96988685
dj568c11.3,dJ568C11.3,chr20,24986866,25039616
acecs2l,AceCS2L,chr20,24986866,25039616
mgc33843,MGC33843,chr20,24986866,25039616
acss1,ACSS1,chr20,24986866,25039616
acs,ACS,chr20,33459949,33515765
acsa,ACSA,chr20,33459949,33515765
acecs,AceCS,chr20,33459949,33515765
dj1161h23.1,dJ1161H23.1,chr20,33459949,33515765
acss2,ACSS2,chr20,33459949,33515765
flj21963,FLJ21963,chr12,81330193,81654984
acss3,ACSS3,chr12,81330193,81654984
nem3,NEM3,chr1,229566992,229569845
acta1,ACTA1,chr1,229566992,229569845
